feature,special_case_type,special_case_reason,recommended_next_action,validation_stage,drop_now
prev_unused_offer_recent_24m_count,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_approved_flag,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_refused_flag,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_canceled_flag,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_unused_offer_flag,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_cash_loan_flag,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_consumer_loan_flag,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_revolving_loan_flag,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_application_amount,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_credit_amount,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_annuity_amount,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_goods_price,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_down_payment,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_credit_to_application_ratio,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_annuity_to_credit_ratio,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_down_payment_ratio,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_application_credit_diff,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_days_decision,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_cnt_payment,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_hour_process,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_sellerplace_area,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_last_appl_in_day,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_insured_on_approval,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_has_down_payment,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
prev_latest_has_interest_rate,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
has_pos_cash_history,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_contract_count,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_record_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_record_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_record_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_span_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_span_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_month_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_active_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_active_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_active_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_completed_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_completed_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_completed_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_signed_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_signed_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_signed_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_demand_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_demand_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_demand_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_returned_to_store_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_returned_to_store_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_returned_to_store_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_approved_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_approved_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_approved_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_canceled_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_canceled_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_canceled_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_amortized_debt_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_amortized_debt_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_amortized_debt_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_30plus_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_30plus_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_30plus_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_60plus_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_60plus_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_60plus_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_90plus_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_90plus_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_90plus_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_def_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_def_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_def_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_30plus_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_30plus_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_30plus_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_60plus_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_60plus_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_60plus_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_90plus_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_90plus_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_90plus_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_6m_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_6m_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_6m_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_12m_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_12m_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_12m_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_24m_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_24m_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_recent_24m_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_6m_has_dpd_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_6m_has_dpd_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_6m_has_dpd_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_12m_has_dpd_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_12m_has_dpd_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_12m_has_dpd_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_24m_has_dpd_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_24m_has_dpd_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_24m_has_dpd_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_6m_has_dpd_def_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_6m_has_dpd_def_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_6m_has_dpd_def_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_12m_has_dpd_def_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_12m_has_dpd_def_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_12m_has_dpd_def_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_24m_has_dpd_def_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_24m_has_dpd_def_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_recent_24m_has_dpd_def_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_missing_cnt_instalment_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_missing_cnt_instalment_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_missing_cnt_instalment_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_missing_cnt_instalment_future_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_missing_cnt_instalment_future_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_missing_cnt_instalment_future_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_near_completion_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_near_completion_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_near_completion_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_completed_by_future_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_completed_by_future_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_is_completed_by_future_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_future_installment_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_future_installment_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_future_installment_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_cnt_instalment_unique_count_sum_x,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_cnt_instalment_unique_count_mean_x,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_cnt_instalment_unique_count_max_x,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_latest_paid_installment_count_sum,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_latest_paid_installment_count_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_latest_paid_installment_count_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_active_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_active_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_active_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_completed_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_completed_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_completed_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_signed_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_signed_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_signed_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_demand_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_demand_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_demand_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_returned_to_store_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_returned_to_store_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_returned_to_store_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_approved_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_approved_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_approved_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_canceled_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_canceled_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_canceled_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_amortized_debt_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_amortized_debt_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_status_amortized_debt_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_30plus_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_30plus_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_30plus_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_60plus_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_60plus_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_60plus_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_90plus_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_90plus_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_90plus_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_def_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_def_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_has_dpd_def_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_30plus_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_30plus_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_30plus_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_60plus_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_60plus_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_60plus_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_90plus_ratio_mean,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_90plus_ratio_max,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
pos_dpd_def_90plus_ratio_min,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,no
