feature,feature_category,model_feature_role,univariate_status,drop_now,next_stage,special_case_type,special_case_reason,special_next_action,special_validation_stage,numeric_section_review_flag,numeric_section_review_reason,universal_basic_review_flag,universal_basic_review_reason
cc_drawing_amount_std_mean,continuous_stat_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_drawing_amount_std_min,continuous_stat_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_drawing_amount_std_sum,continuous_stat_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_drawing_amount_sum_max,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_skew;,False,
cc_drawing_amount_sum_mean,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_skew;,False,
cc_drawing_amount_sum_min,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_skew;,False,
cc_drawing_amount_sum_sum,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_skew;,False,
cc_drawing_count_max_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_drawing_count_max_mean,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; not_integer_like;,False,
cc_drawing_count_max_min,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_drawing_count_max_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_drawing_count_mean_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; not_integer_like;,False,
cc_drawing_count_mean_mean,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; not_integer_like;,False,
cc_drawing_count_mean_min,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; not_integer_like;,False,
cc_drawing_count_mean_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; not_integer_like;,False,
cc_drawing_count_sum_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_count_tail;,False,
cc_drawing_count_sum_mean,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; not_integer_like; extreme_count_tail;,False,
cc_drawing_count_sum_min,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_count_tail;,False,
cc_drawing_count_sum_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_count_tail;,False,
cc_has_atm_drawing_count_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_count_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_count_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_count_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_count_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_count_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_atm_drawing_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_balance_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_balance_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_balance_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_balance_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_balance_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_balance_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_dpd_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_dpd_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_skew;,False,
cc_has_dpd_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_dpd_def_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy;,False,
cc_has_dpd_def_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_dpd_def_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy;,False,
cc_has_dpd_def_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_dpd_def_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_dpd_def_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_dpd_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_skew;,False,
cc_has_dpd_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_skew;,False,
cc_has_dpd_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; extreme_skew;,False,
cc_has_drawing_count_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_count_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_count_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_count_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_count_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_count_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_drawing_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_min_instalment_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_min_instalment_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_min_instalment_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_min_instalment_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_min_instalment_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_min_instalment_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_other_drawing_count_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy;,False,
cc_has_other_drawing_count_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_other_drawing_count_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy;,False,
cc_has_other_drawing_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy;,False,
cc_has_other_drawing_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_other_drawing_count_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_other_drawing_count_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_other_drawing_count_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_other_drawing_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy;,False,
cc_has_other_drawing_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_other_drawing_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_other_drawing_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; zero_heavy; extreme_skew;,False,
cc_has_payment_current_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_current_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_current_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_current_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_current_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_current_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_total_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_total_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_total_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_total_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_total_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_payment_total_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_pos_drawing_count_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_pos_drawing_count_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_pos_drawing_count_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_pos_drawing_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_pos_drawing_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_pos_drawing_count_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; high_outlier_burden;,False,
cc_has_pos_drawing_count_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; high_outlier_burden;,False,
cc_has_pos_drawing_count_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; high_outlier_burden;,False,
cc_has_pos_drawing_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_pos_drawing_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; high_outlier_burden;,False,
cc_has_pos_drawing_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; high_outlier_burden;,False,
cc_has_pos_drawing_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; high_outlier_burden;,False,
cc_has_total_receivable_count_max,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_total_receivable_count_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_total_receivable_count_sum,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_total_receivable_ratio_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_total_receivable_ratio_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_has_total_receivable_ratio_min,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing;,False,
cc_high_util_80_trend_6m_vs_old_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; negative_ratio_value; high_outlier_burden;,False,
cc_high_util_80_trend_6m_vs_old_mean,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; negative_ratio_value; high_outlier_burden;,False,
